               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.045622,           0.0061752,                   0,             0.35246,             0.31579,             0.17755,            0.058814,            0.074387,            0.014318,                   0,           0.0057821,           0.0057821,            0.023982
                 117,            0.045272,           0.0068939,                   0,              0.5624,             0.47368,             0.33945,             0.17279,            0.060805,            0.012808,                   0,           0.0057951,           0.0057951,            0.023295
                 118,            0.039963,           0.0067707,                   0,             0.57089,             0.42105,             0.34182,             0.13197,            0.067365,            0.012798,                   0,           0.0058073,           0.0058073,            0.022607
                 119,            0.038578,           0.0063959,                   0,             0.52379,             0.57895,             0.42571,              0.1415,            0.067223,            0.010827,                   0,           0.0058187,           0.0058187,            0.021919
                 120,            0.041119,            0.006816,                   0,             0.74622,             0.47368,             0.49502,             0.18105,            0.062978,            0.011207,                   0,           0.0058294,           0.0058294,            0.021229
                 121,            0.043088,            0.005785,                   0,             0.66662,             0.42105,             0.40535,             0.16814,            0.061966,            0.012529,                   0,           0.0058394,           0.0058394,            0.020539
                 122,            0.041611,           0.0064174,                   0,             0.66626,             0.42105,             0.45084,             0.19257,            0.063978,            0.012727,                   0,           0.0058486,           0.0058486,            0.019849
                 123,            0.040424,           0.0064169,                   0,              0.4736,             0.47368,             0.32621,             0.11785,            0.068788,            0.011977,                   0,            0.005857,            0.005857,            0.019157
                 124,            0.039414,           0.0063042,                   0,             0.34591,             0.47368,             0.27542,             0.10857,            0.070011,            0.011632,                   0,           0.0058647,           0.0058647,            0.018465
                 125,            0.037761,           0.0062759,                   0,             0.56222,             0.47368,             0.35216,             0.14397,            0.068829,             0.01125,                   0,           0.0058716,           0.0058716,            0.017772
                 126,            0.042188,           0.0064061,                   0,             0.56238,             0.47347,             0.34655,             0.11933,            0.069385,            0.011781,                   0,           0.0058778,           0.0058778,            0.017078
                 127,            0.041276,           0.0061592,                   0,             0.58321,             0.36842,             0.28931,            0.070219,            0.071137,            0.011736,                   0,           0.0058832,           0.0058832,            0.016383
                 128,            0.041281,           0.0063852,                   0,             0.64256,             0.47312,             0.40843,              0.1522,            0.065884,            0.011806,                   0,           0.0058879,           0.0058879,            0.015688
                 129,            0.038441,           0.0053815,                   0,             0.69973,             0.36842,             0.35242,             0.13451,            0.070767,            0.011333,                   0,           0.0058918,           0.0058918,            0.014992
                 130,            0.041501,            0.006391,                   0,             0.62498,             0.52632,             0.35174,              0.1454,            0.066226,            0.011191,                   0,            0.005895,            0.005895,            0.014295
                 131,            0.040727,           0.0059178,                   0,             0.40865,             0.47368,             0.28791,              0.1077,            0.065803,            0.012552,                   0,           0.0058975,           0.0058975,            0.013597
                 132,            0.040518,           0.0064222,                   0,             0.49992,             0.26316,             0.28107,            0.070548,             0.07007,            0.014694,                   0,           0.0058992,           0.0058992,            0.012899
                 133,            0.038422,           0.0062441,                   0,             0.53316,             0.42105,             0.28231,              0.1027,            0.064904,            0.012179,                   0,           0.0059002,           0.0059002,              0.0122
                 134,            0.038551,            0.006307,                   0,             0.69182,             0.47368,             0.37216,              0.1554,            0.066619,            0.010869,                   0,           0.0059004,           0.0059004,              0.0115
                 135,            0.037478,            0.005885,                   0,             0.49966,             0.36842,             0.25639,             0.11229,            0.068278,            0.011542,                   0,              0.0059,              0.0059,              0.0108
                 136,             0.04075,           0.0059364,                   0,               0.635,             0.36842,              0.3536,             0.14263,            0.064015,            0.013761,                   0,           0.0058988,           0.0058988,            0.010099
                 137,            0.041223,           0.0062132,                   0,             0.58727,             0.52632,             0.43046,             0.17726,            0.060398,            0.012603,                   0,           0.0058968,           0.0058968,           0.0093968
                 138,            0.039032,           0.0064464,                   0,             0.39891,             0.42105,             0.25735,            0.071908,            0.073071,             0.01224,                   0,           0.0058942,           0.0058942,           0.0086942
                 139,            0.039874,           0.0060334,                   0,             0.49902,             0.36842,             0.38619,             0.12591,            0.065661,            0.011939,                   0,           0.0058909,           0.0058909,           0.0079909
                 140,              0.0394,           0.0062501,                   0,              0.5995,             0.47368,             0.34763,             0.14331,            0.064935,            0.012962,                   0,           0.0058868,           0.0058868,           0.0072868
                 141,             0.03949,           0.0060139,                   0,             0.53828,             0.36842,             0.24859,             0.12742,            0.067675,              0.0125,                   0,            0.005882,            0.005882,            0.006582
                 142,            0.037307,            0.006101,                   0,             0.69202,             0.47368,             0.39831,             0.16071,            0.065426,            0.011384,                   0,           0.0058766,           0.0058766,           0.0058766
                 143,            0.036177,           0.0056503,                   0,             0.69973,             0.36842,             0.35961,             0.13431,            0.072182,            0.010843,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.041215,           0.0061502,                   0,             0.74994,             0.47354,             0.41199,             0.15993,            0.064803,            0.010303,                   0,           0.0058296,           0.0058296,           0.0058296
